[[1, 0.0, 0.44642530151089316, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.45914733894318605, 0.3754384037622, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.2979199060074314, 0.0, 0.0, 1, 0.0, 0], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.0, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 0], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.2979199060074314, 0.0, 0.0, 1, 0.0, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 0], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2]]
gen	nevals	avg 	min	max
0  	25    	3.4 	0  	7  
1  	15    	5.32	0  	7  
2  	16    	5.56	3  	8  
3  	13    	6.2 	4  	8  
4  	18    	5.72	3  	9  
5  	17    	6.12	3  	9  
6  	13    	6   	3  	9  
7  	17    	6.04	2  	9  
8  	15    	6.68	3  	9  
9  	12    	6.76	3  	10 
10 	12    	7.16	2  	10 
[[1, 0.07919359503590023, 0.44642530151089316, 0.017108537858212536, 1, 0.017108537858212536, 2], [1, 0.45914733894318605, 0.3754384037622, 0.49019278593436344, 1, 0.49019278593436344, 2], [1, 0.2979199060074314, 0.42744500853030637, 0.4716640624484882, 1, 0.4716640624484882, 2]]
